 You are impersonating as another user., 您正在模拟其他用户。,
"""Company History""",“公司历史”,
"""Parent"" signifies the parent table in which this row must be added",“parent”表示本条记录必须依赖添加的父表,
"""Team Members"" or ""Management""",“团队成员”或“管理层”,
"""amended_from"" field must be present to do an amendment.",必须出现“modified_from”字段才能进行修改。,
"""{0}"" is not a valid Google Sheets URL",“ {0}”不是有效的Google表格网址,
#{0},#{0},
${values.doctype_name} has been added to queue for optimization,${values.doctype_name} 已加入优化队列,
&copy; Frappe Technologies Pvt. Ltd. and contributors,&copy; Frappe科技有限公司及贡献者,
&lt;head&gt; HTML,&lt;head&gt; HTML,
'*' is only allowed in {0} SQL function(s),'*' 仅允许在 {0} SQL 函数中使用,
'In Global Search' is not allowed for field {0} of type {1},字段类型{1}的字段{0}不允许启用'全局搜索',
'In Global Search' not allowed for type {0} in row {1},行{1}中的类型{0}不允许“全局搜索”,
'In List View' is not allowed for field {0} of type {1},字段类型{1}的字段{0}不允许显示在'列表视图',
'In List View' not allowed for type {0} in row {1},行{1}中的类型{0}不允许选择“在列表视图中显示”,
'Recipients' not specified,&#39;收件人&#39;未指定,
'{0}' is not a valid IBAN,“{0}”不是有效的IBAN号码,
'{0}' is not a valid URL,'{0}' 不是有效的URL,
'{0}' not allowed for type {1} in row {2},第{2}行类型{1}不允许使用'{0}',
(Mandatory),(必填项),
** Failed: {0} to {1}: {2},**失败：{0} {1}：{2},
+ Add / Remove Fields,添加/移除字段,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - 草稿；1 - 已提交；2 - 已取消,
"0 - too guessable: risky password.
<br>
1 - very guessable: protection from throttled online attacks. 
<br>
2 - somewhat guessable: protection from unthrottled online attacks.
<br>
3 - safely unguessable: moderate protection from offline slow-hash scenario.
<br>
4 - very unguessable: strong protection from offline slow-hash scenario.","0 - 太容易猜测：危险密码。
<br>
1 - 非常容易猜测：仅能防御受限的在线攻击。
<br>
2 - 有点容易猜测：仅能防御不受限的在线攻击。
<br>
3 - 安全：适度防御离线攻击。
<br>
4 - 非常安全：强力防御离线攻击。",
0 is highest,0 为最高,
1 = True & 0 = False,1=真 & 0=假,
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1货币 = [？]分
例如1美元 = 100 美分",
1 Day,1天,
1 Google Calendar Event synced.,已同步1个Google日历事件,
1 Report,1个报表,
1 day ago,1天前,
1 hour,1小时,
1 hour ago,1小时前,
1 minute ago,1分钟前,
1 month ago,一个月前,
1 of 2,第1项/共2项,
1 record will be exported,将导出一笔记录,
1 second ago,1秒前,
1 week ago,一周前,
1 year ago,一年前,
2 hours ago,2小时前,
2 months ago,2个月前,
2 weeks ago,2周前,
2 years ago,2年前,
3 minutes ago,3分钟前,
30 minutes,半小时,
4 hours,4小时,
5 Records,5笔记录,
5 days ago,5天前,
<b>{0}</b> is not a valid URL,<b>{0}</b> 不是有效的URL,
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">请不要更新它，否则会弄乱您的表单。使用自定义表单视图和自定义字段来设置属性！</div>",
"<div class=""well"">
    Edit list of Series in the box. Rules:
    <ul>
        <li>Each Series Prefix on a new line.</li>
        <li>Allowed special characters are ""/"" and ""-""</li>
        <li>
            Optionally, set the number of digits in the series using dot (.)
            followed by hashes (#). For example, "".####"" means that the series
            will have four digits. Default is five digits.
        </li>
        <li>
            You can also use variables in the series name by putting them
            between (.) dots
            <br>
            Supported Variables:
            <ul>
                <li><code>.YYYY.</code> - Year in 4 digits</li>
                <li><code>.YY.</code> - Year in 2 digits</li>
                <li><code>.MM.</code> - Month</li>
                <li><code>.DD.</code> - Day of month</li>
                <li><code>.WW.</code> - Week of the year</li>
                <li>
                    <code>.{fieldname}.</code> - fieldname on the document e.g.
                    <code>branch</code>
                </li>
                <li><code>.FY.</code> - Fiscal Year (requires ERPNext to be installed)</li>
                <li><code>.ABBR.</code> - Company Abbreviation (requires ERPNext to be installed)</li>
            </ul>
        </li>
    </ul>
    Examples:
    <ul>
        <li>INV-</li>
        <li>INV-10-</li>
        <li>INVK-</li>
        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
","<div class=""well"">
    在框中编辑系列列表。规则：
    <ul>
        <li>每个系列前缀占一行。</li>
        <li>允许的特殊字符为“/”和“-”</li>
        <li>
            可选地，使用点 (.)
            后跟井号 (#) 来设置系列中的位数。例如，“.####”表示系列
            将有四位数字。默认值为五位数字。
        </li>
        <li>
            您还可以在系列名称中使用变量，方法是将它们放在
            (.) 点之间
            <br>
            支持的变量：
            <ul>
                <li><code>.YYYY。</code> - 4 位数字的年份</li>
                <li><code>.YY。</code> - 2 位数字的年份</li>
                <li><code>.MM.</code> - 月份</li>
                <li><code>.DD.</code> - 月份中的日期</li>
                <li><code>.WW.</code> - 一年中的周数</li>
                <li><code>.FY.</code> - 财政年度</li>
                <li><code>.ABBR.</code> - 公司缩写</li>
                <li>
                    <code>.{fieldname}.</code> - 文档上的字段名称，例如
                    <code>分支</code>
                </li>
            </ul>
        </li>
    </ul>
    示例：
    <ul>
        <li>INV-</li>
        <li>INV-10-</li>
        <li>INVK-</li>
        <li>INV-.YYYY.-.{branch}.-.MM.-.####</li>
    </ul>
</div>
<br>
",
"<h3>Custom CSS Help</h3>

<p>Notes:</p>

<ol>
<li>All field groups (label + value) are set attributes <code>data-fieldtype</code> and <code>data-fieldname</code></li>
<li>All values are given class <code>value</code></li>
<li>All Section Breaks are given class <code>section-break</code></li>
<li>All Column Breaks are given class <code>column-break</code></li>
</ol>

<h4>Examples</h4>

<p>1. Left align integers</p>

<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>

<p>1. Add border to sections except the last section</p>

<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }
.section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>
","<h3>自定义 CSS 帮助</h3>

<p>注释：</p>

<ol>
<li>所有字段组（标签 + 值）都设置了属性<code>data-fieldtype</code>和<code>data-fieldname</code></li>
<li>所有值都有类<code>value</code></li>
<li>所有分段断开均使用<code>section-break</code>类</li>
<li>所有分隔列均为<code>column-break</code>类</li>
</ol>

<h4>示例</h4>

<p>1.左对齐整数</p>

<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>

<p>1.为除最后一节外的各节添加边框</p>

<pre><code>.section-break { padding：30px 0px; border-bottom：1px solid #eee; }
.section-break:last-child { padding-bottom：0px; border-bottom：0px; }</code></pre>
",
